commit,cell,run,import_pandas_ms,python_c_pass_ms,helper_wall_ms,launch
358da8b59b8,blk-ext4,1,707.336,36.621,2044,host
358da8b59b8,blk-ext4,2,706.967,36.589,2070,host
358da8b59b8,blk-ext4,3,708.451,39.513,2087,host
358da8b59b8,blk-ext4,4,709.728,37.144,2066,host
358da8b59b8,blk-ext4,5,710.65,36.762,2093,host
358da8b59b8,blk-ext4,6,709.316,36.577,2091,host
358da8b59b8,blk-ext4,7,716.39,36.5,2117,host
358da8b59b8,blk-ext4,8,704.547,36.16,2103,host
358da8b59b8,blk-ext4,9,734.409,39.883,2122,host
358da8b59b8,blk-ext4,10,709.578,37.469,2129,host
358da8b59b8,baseline,1,335.769,9.616,883,host
358da8b59b8,baseline,2,331.757,9.666,876,host
358da8b59b8,baseline,3,332.686,9.66,869,host
358da8b59b8,baseline,4,330.033,9.748,866,host
358da8b59b8,baseline,5,329.0,9.484,875,host
358da8b59b8,baseline,6,332.709,10.005,870,host
358da8b59b8,baseline,7,333.945,9.639,883,host
358da8b59b8,baseline,8,337.732,9.478,875,host
358da8b59b8,baseline,9,330.441,9.822,864,host
358da8b59b8,baseline,10,333.383,9.79,848,host
