arm,guest_n,memory_current_kib,memory_anon_kib,threads,guest_touched_kib,host_available_kib,host_delta_kib
idle-thp-off,28,74276,71380,13,77300,8443344,2724108
idle-thp-off,29,74752,71004,13,78104,8330448,2837004
idle-thp-off,30,74700,70812,13,76328,8248628,2918824
idle-thp-off,31,74824,71324,13,76308,8150272,3017180
idle-thp-off,32,73664,70440,13,77216,8050220,3117232
idle-thp-off,33,73748,70328,13,76896,7955516,3211936
idle-thp-off,34,74140,70668,13,76720,7853268,3314184
idle-thp-off,35,74300,70480,13,77192,7769944,3397508
idle-thp-off,36,75080,71228,13,77360,7672008,3495444
idle-thp-off,37,74672,70668,13,76104,7571520,3595932
idle-thp-off,38,75036,71304,13,76392,7484108,3683344
idle-thp-off,39,75340,71568,13,77748,7389224,3778228
idle-thp-off,40,74864,71120,13,76544,7293424,3874028
idle-thp-off,41,73080,69720,13,76384,7206612,3960840
idle-thp-off,42,74368,71064,13,76624,7102712,4064740
idle-thp-off,43,74468,70976,13,76880,7000724,4166728
idle-thp-off,44,73692,70388,13,77760,6910296,4257156
idle-thp-off,45,74844,71204,13,76336,6800676,4366776
idle-thp-off,46,74132,70892,13,76428,6718528,4448924
idle-thp-off,47,74488,71096,13,76252,6640672,4526780
idle-thp-off,48,74692,71240,13,77436,6537308,4630144
idle-thp-off,49,73748,70516,13,76060,6436204,4731248
idle-thp-off,50,74940,71192,13,76444,6335904,4831548
idle-thp-off,51,74280,70600,13,76892,6229440,4938012
idle-thp-off,52,74648,71104,13,76392,6119820,5047632
idle-thp-off,53,74112,70188,13,77344,6025768,5141684
idle-thp-off,54,74356,70960,13,76520,5945468,5221984
idle-thp-off,55,73580,70276,13,80008,5818472,5348980
idle-thp-off,56,74240,70548,13,78076,5730032,5437420
idle-thp-off,57,74940,71448,13,76876,5650440,5517012
idle-thp-off,58,73652,70052,13,77508,5522388,5645064
idle-thp-off,59,74984,71028,13,76232,5412264,5755188
idle-thp-off,60,74720,71156,13,76788,5321724,5845728
idle-thp-off,61,74528,70572,13,76712,5237588,5929864
