set,probe,expect,result,pass,ms
ratelimit,fanout-01,reachable,refused,True,2
ratelimit,fanout-02,reachable,refused,True,1
ratelimit,fanout-03,reachable,refused,True,0
ratelimit,fanout-04,reachable,refused,True,0
ratelimit,fanout-05,reachable,refused,True,0
ratelimit,fanout-06,blocked,timeout,True,2002
ratelimit,fanout-07,blocked,timeout,True,2002
ratelimit,fanout-08,blocked,timeout,True,2002
ratelimit,fanout-09,blocked,timeout,True,2002
ratelimit,fanout-10,blocked,timeout,True,2002
ratelimit,fanout-11,blocked,timeout,True,2002
ratelimit,fanout-12,blocked,timeout,True,2002
ratelimit,fanout-13,blocked,timeout,True,2002
ratelimit,fanout-14,blocked,timeout,True,2002
ratelimit,fanout-15,blocked,timeout,True,2002
ratelimit,fanout-16,blocked,timeout,True,2002
ratelimit,fanout-17,blocked,timeout,True,2002
ratelimit,fanout-18,blocked,timeout,True,2002
ratelimit,fanout-19,blocked,timeout,True,2002
ratelimit,fanout-20,blocked,timeout,True,2002
ratelimit,rate-limit,rate-limited,limited:80-reached-0-blocked-60-per-minute,True,79880
ratelimit,rate-recovers,reachable,refused,True,0
ratelimit,fanout-recovers,reachable,refused,True,0
